S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
13,"M/s. India Medtronic Pvt.
Ltd., Plot No.609,
Survey/Shed-188 (part),
Chamunda Compound,
Kasheli Village, Bhiwandi,
Dist-Thane-421301","M/s. Medtronic Inc., 710,
Medtronic Parkway,
Minneapolis MN 55432, USA
Having manufacturing
premises at
M/s. Medtronic Perfusion
Systems, 7611 Northland
Drive, Minneapolis, MN
55428, USA","1. Pressure Monitoring
catheter/ DLP
2. Pressure Catheter
Placement Set/DLP
3.Femoral Venous Cannula /
Bio-Medicus
4. Femoral Venous Cannula /
Carpentier Bi-Caval, DLP
5. Retrograde Cannula
/Gundry, MiRCSP,DLP
6. Retrograde Cannula /DLP
7.Multistage Venous Cannula
/VC2
8. Multistage Venous
Cannula / MC2, MC2X TM
9. Multistage Venous
Cannula / Ultraflex
10. Single Stage Venous
Cannula / DLP
11. Vessel Cannula / DLP
12. Arteriotomy Cannula /
DLP
13. Arterial Cannula / DLP,
Select Series, EOPA, Select
33D
14. Femoral Arterial Cannula
/ DLP
15. Antegrade Cannula /
DLP, MiAR
16. Pressure Sensing
Syringes / DLP
17. Cannula Needles / DLP
18. Cannula Kit / Bio-
Medicus, DLP","31-68-MD/2006-DC (Re
Reg.02) (Part - I)",,MD-68,15.04.2015,31.03.2018,,
13,"M/s. 3M India Limited, Plot
No. 60/16, Electronic City,
Hoskur Road, Bangalore-
560100","M/s. 3M Healthcare, dba 3M
Consumer Healthcare, 2510
Conway Avenue, St. Paul,
Minnesota 55144-1000, USA
Having manufacturing","1. 3M™ Nexcare™ Comfort
Bandages / Bandages
2. 3M™ Nexcare™
waterproof Bandages /
Bandages",31-1612-MD/2014-DC,,MD-1612,17.04.2015,31.03.2018,,
,,"premises at
M/s. Hutchinson 905 Adams
St. SE Hutchinson, Minnesota
55350","3.3M™ Nexcare™ Tattoo™
waterproof Bandages /
Bandages",,,,,,,
14,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Ethicon Endo-Surgery
LLC., 475 Calle C.
Guaynabo, Puerto Rico
00969, USA
Having manufacturing
premises at
M/s. Ethicon Endo-Surgery
S.A. de C.V., Avenida de las
Torres 7125, Colonia
Salvarcar 118, 32580 Ciudad
Juarez, Chihuahua, Mexico","1. VALUTRUS/Reusable
Linear Cutter
2. ECHELON/ Endoscopic
Linear Cutter Reloads
3. CONTOUR /Curved
Cutters and Reloads
4.ENDOPATH /Endoscopic
multifeed Stapler
5. ENDOPATH ETS
ENDOPATH ETS Flex,
ENDOPATH ETS Compact
flex and ENDOPATH ETS-
Flex (articulating) /
Endoscopic Liner Cutters and
Reloads
6. ENDOPATH EZ/
Endoscopic Linear Cutter/
Stapler and reload
7. ENDOPATH ILS/
Endoscopic Curved
Intraluminal Staplers
8. PROXIMATE ILS/Curved
and Straight Intraluminal
Staplers
9. PROXIMATE/ Linear
Staplers adn reloads
10.PROXIMATE /
Hemorrhoidal Circular
Staplers
11. PROXIMATE / Skin
Staplers
12. PROXIMATE Plus MD/
Skin Staplers
13. Ethicon Endo-Surgery
reloads/Linear Cutter","31-1054-MD/2011-DC
(Re. Reg. 01)",,MD-1054,21.04.2015,31.03.2018,,
,,,"Selectable Reload
14. LIGACLIP EXTRA /
Ligating Clips",,,,,,,
14,"M/s. Becton Dickinson
India Pvt. Ltd., No34, Assisi
Nagar, West Thottam,
Madhavaram, Chennai-51","M/s. Becton Dickinson
Infusion Therapy AB,
florettgatan 29C PO Box 631,
SE-251 06 Helsingborg,
Sweden
Having manufacturing
premises at
M/s. Becton Dickinson
Infusion Therpay System Inc.,
S.A. de C.V. Periferico Luis
Donaldo Colosio #579,
Nofales, Sonara, C.P. 84048,
Mexico","1. BD Connecta / Stopcocks
2. BD Connecta with A-Syte /
Stopcocks",31-1607-MD/2014-DC,,MD-1607,21.04.2015,15.03.2018,,
14,"M/s. Stryker India Pvt. Ltd.,
Khasra No. 191-193, First
Floor, Asola Village,
Fatehpur Beri, New Delhi-
110075","M/s. Stryker Endoscopy 5900
Optical Court San Jose, CA
95138, USA
Having manufacturing
premises at M/s. Stryker
Endoscopy, Puerto Rico
Operations P.O.Box 329
Arroyo, Puerto Rico","ICONIX / Soft tissue fixaton
system (Suture anchor)",31-1494-MD/2014-DC,,MD-1494,21.04.2015,31.03.2018,,
14,"M/s. Cook India Medical
Devices Private Limited,
4/249A, Rasim Enclave
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai-
600056","M/s. Cook Incorporated, 750
Daniels Way, Bloomington, IN
47404, USA Having
manufacturing premises at
M/s. Cook Incorporated 1100
West Morgan St. Spencer, IN
47460, USA","1. Non-Vacular Catheter and
Balloon Catheter for urology/
catheter
2. Non-Vacular Catheter and
Balloon Catheter for IVF /
catheter
3.Non-Vacular Catheter and
Balloon Catheter for
Gynaecology / catheter
4. Ureteral Stent Sets /
Catheter
5.Quick Core Biopsy
Needles/Disposable
Hypodermic Needle",31-1482-MD/2014-DC,,MD-1482,21.04.2015,31.03.2018,,
,,,"6. Injection Needles For
Urology Disposable
Hypodermic Needle",,,,,,,
14,"M/s. Clairvoyance
Consulting, Flat No. 801,
8th Floor, Indra Prakash
Building, 21 Barakhamba
Road, New Delhi-110001","M/s. Invatee S.P.A., Via
Martiri Della Liberta, 7, 25030
Roncadelle (BS) Italy Having
manufacturing premises at
M/s. Invatee S.P.A., Industria
26/28, 25030 Torbole
Casaglia (BS), Italy","1. Admiral Xtreme/PTA
Catheter
2. Amphirion Deep / PTA
Catheter
3. Pacific Xtreme / PTA
Catheter
4. Submarine Rapido/ PTA
Catheter
5. REEF HP / High Pressure
PTA Balloon Catheter
6. Falcon CTO / PTCA
Catheter
7. Falcon Bravo / PTCA
Catheter
8. Falcon Forte /PTCA
Catheter
9. Hippocampus / Renal Stent
system
10. Cristallo Ideale / Carotid
Self-Expanding Stent System
11. MO.MA Ultra / Cerebral
Protection Device",31-1620-MD/2014-DC,,MD-1620,21.04.2015,31.03.2018,,
14,"M/s. Endovascular
Corporation Pvt. Ltd., Gala
No. 8/A, Cabin-A, Gate-2,
Blid No. E/6 Angle Logistic
Park, Kalyan Nashik
Highway Pimplas,
Bhiwandi Dist. Thane-
421302","M/s. Cardiantis S.A., Parc
Scientifique Crealys, Rue
Jules Poskin 3, 5032 Isnes,
Belgium","1. Cardiatis peripheral
Multilayer Flow Modulator /
Multilayer Flow Modulator for
peripheral Aneurysms
2. Cardiatis thoraco-
Abdominal Multilayer Flow
Modulator / Multilayer Flow
Modulator for aoritc
Aneurysms",31-1509-MD/2014-DC,,MD-1509,21.04.2015,31.03.2018,,
14,"M/s. India Medtronic Pvt.
Ltd., Plot no 609,
Survey/Shed-188(Part),
Chamunda Compound,
Kasheli Village, Bhiwandi,","M/s. Medtronic Inc., 710,
Medtronic Parkway, N.E.
Minneapolis, MN 55432, USA
Having manufacturing
premises at","Intrathecal catehter with
sutureless connector/
Intrathecal Catheter","31-1322-MD/2013-DC
(Part-I)",,MD-1322,21.04.2015,31.03.2018,,
,Dist-Thane-421301,"M/s. Medtronic Puerto Rico
Opertaions Co., Juncos,
Road 31, km 24, HM 4, Ceiba
Norte Industrial Park, Juncos,
PR 00777 USA",,,,,,,,
14,"M/s. India Medtronic
Private Limited, Plot No.
609, Surver/Shed-188
(Part), Chanmunda Comp.,
Kasheli Village, Dist-
Thane, Bhiwandi-421301","M/s. Medtronic Inc, 710
Medtronic Parkway N.E.
Minneapolis MN 55432, USA
Having manufacturing
premises at
M/s. Medtronic Inc, 3800
Annapolis Lane, Minnapolis,
MN-55447, USA","1. Medtronic Open Pivot/
Heart Valve Aortic/ 500FA,
501DA, 503DA, 505DA
2. Medtronic Open Pivot/
Heart Valve – Mitral/ 500DM,
501DM, 505DM
3. Medtronic Open Pivot/
Aortic Valved Graft/ 502AG","31-1163-MD/2012-DC
(Part-I)",,MD-1163,21.04.2015,31.03.2018,,
14,"M/s. Alcon Laboratories
(India) Pvt.Ltd., Crescent-4,
Prestige, Shantiniketan,
Whitefield, Bangaloer –
560048","M/s. Alcon Research Ltd.,
6065, Kye Lane, Huntington,
West Virginia 25702, USA","1. PMMA Posterior Chamber
Intraocular Lens
2.Single Piece Intraocular
Lens/ ACRYSOF
3. Acrylic foldable Multipiece
Posterior chamber intraocular
Lens/ ACRYSOF
4. Acrylic Foldable Apodized
Diffractive Aspheric Multifocal
Toric Intraocular Lens /
ACRYSOF IQ ReSTOR","31-16-MD/2012-DC (Re-
Reg. 03)",,MD-16,21.04.2015,31.07.2018,,
14,"M/s B. Braun Medical
(India) Pvt. Ltd., Bldg B,
Gala 1-10. Prerna
Complex, Anjur Phata,
Dapoda Road, Val Village-
B, Taluka-Bhiwandi
(Thane-Zone 5)","M/s Proxy Biomedical Ltd.,
coilleach, Coilleach, Spiddal,
Co Galway, Ireland,","1.Surgical Mesh
(nonabsorbable)/ Omyra®
Mesh","31-979-MD /2011-DC
(Re.Reg. 01)",,MD-979,21.04.2015,31.03.2018,,
15,"M/s. Teleflex medical
Private Limited, Old No. 10,
No. 19, 1st Floor & Ground
Floor, Harington Road,
Chetpet, Chennai-600031","M/s. Willy Rusch GmbH,
Willy- Rusch-Strasse 4-10,
71394 Kernen, Germany","1. Red Rubber Tracheal tube,
cuffed/ RUSCH
2. Laser tube (Rubber)
endotracheal tubes for I laser
surgery/ RUSCH
3. Woodbridge Silkolatex
Armoured tracheal tube long","31-776-MD /2010-DC
(Re.Reg 01)",,MD-776,21.04.2015,31.03.2018,,
,,,"cuffed / RUSCH
4. Soft rubber kher T -Tube or
Silokolatex kher T-Tube /
RUSCH
5. PVC Bladder Catheter,
Tiemann, 2 eyes/ RUSCH
6. PVC Delefosse Catheter
set/ RUSCH7. PU/ Silkolatex
Embolectomy Catheter /
RUSCH",,,,,,,
15,"M/s. Avana Medical
Devices Private Limited,
IInd Floor, N 6D,014.D.,
Vishwanathan Street, West
Mambalam, Chennai-33","M/s. Arthrex Inc., 1370
Creekside Boulevard, Naples,
Florida, USA 34108-1945","1. Peek Screws Taks / Soft
Tissue Fixation Systems
2. Femoral Opening Wedge
Osteotomy Plate / Plates
&Screws(Tatanium)
3. Humeral Suture Plate /
Plates &Screws(Tatanium)
(Non-Sterile)
4. Fiberwire / Suture
Fiberwire","31-846-MD/2010-DC
(End. 01)",,MD-846,21.04.2015,14.04.2017,,
15,"M/s. Biomet Orthopaedic
India Pvt. Ltd., 2301,
Shanti Estate, Ghansham
Estate, National Highway
No.8, Aslali, Tal: Daskroi,
Ahmedabad","M/s. Biomet Orthopaedics
LLC, 56 East bell Drive, P.O.
Box 587, Warsaw, Indiana-
46581-0587, Warsaw,
Indiana 46581","1. Sirius Polished Cemented
Stem/ Orthopaedic Implant","31-1076-MD/2012-DC
(End.01)",,MD-1076,21.04.2015,15.09.2016,,
15,"M/s. Biomet Orthopaedic
India Pvt. Ltd., 2301,
Shanti Estate, Ghansham
Estate, National Highway
No. 8. Aslali, Tal: Daskroi
(N.A.), Ahmedabad-
(Gujarat)","M/s. Biomet Sports Medicine
LLC, 56 East Bell Drive, PO
Box 587, Warsaw, Indiana
46581-0587, USA","TunneLoc Tibial Fixation
Device / Internal Fixation","31-1152-MD/2012-DC
End. 04",,MD-1152,21.04.2015,15.09.2016,,
15,"M/s. India Medtronic Pvt.
Ltd. Plot No. 609,
Survey/Shed-188 (Part),
Chamunda Comp., Kasheli","M/s. Medtornic Inc., 710
Medtronic Parkway,
Minneapolis, MN-55432 USA
Having manufacturing","Percutaneous Lead
Introducer Kit","31-1510-MD/2014-DC
(Part-I)",,MD-1510,21.04.2015,31.03.2018,,
,"Village, Dist. Thane,
Bhiwandi 421301,
Maharsathra","premises at
M/s. Greatbatch Medical
2300 Berkshir Ln N,
Minneapolis MN 55441",,,,,,,,
15,"M/s. Abbott Medical Optics
Pvt. Ltd.
No. 91, G.N.T. Road,
Madhavaram,
Chennai- 600110","M/s. Abbott medical Optics
Inc, ( Formely known as
Advance medical Optics Inc.)
1700 E. St. Andrew Place,
Santa Ana, California 92705,
USA Having manufacturing
premises at
M/s. AMO Gorningen BV,
Van Swietenlaan 5, 9728 NX
Groningen, The Netherlands","1. Teenis Symfony Extended
Range of Vision 1-Piece IOL /
Intraocular Lens
2. Teenis Symfony Extended
Range of Vision Toric 1-Piece
IOL / Intraocular Lens","31-17-MD/2006-DC (Re
Reg.02) (End.02)",,MD-17,21.04.2015,31.05.2016,,
15,"M/s. Boston Sciencitifc
India Pvt. Ltd., C-41,
Ground Floor, Okhla
Industrial Area, Phase-II,
New Delhi - 110020","M/s. Boston Scientific
Corporation One Boston
Scientific Place, Natick, MA
01760-1537, USA Having
manufacturing premises at
M/s. Availmed S.A. de C.V.
(Mexico), Ave. Paseo
Reforma No. 8950 Interior G1
(Local B, H) La Mesa,
Rijuana, Bala California,C.P.
22116 Mexico","6F RunWay guide Catheter /
Guide Catheter","31-166-MD / 2006-DC
(Re.Reg.02)(End.01)",,MD-166,21.04.2015,14.02.2017,,
15,"M/s. India Medtronic Pvt.
Ltd., Plot no 609,
Survey/Shed-188(Part),
Chamunda Compound,
Kasheli Village, Bhiwandi,
Dist-Thane-421301","M/s. Medtronic Inc, 710,
Medtronic Park Way, NE
Minneapolis, MN-55432, USA
Having manufacturing
premises at
M/s. Medtronic
Neurosurgery 125 Cremona
Drive Goleta CA 93117, USA","1. Innervision, Snap Shunt,
Rivulet, EDMS/Ventricular
Catheters
2. opus Ventricular Catheter/
opus Ventricular Catheter
3.Cardiac /Pritoneal
Catheters / Cardiac /Pritoneal
Catheters
4. Delta Valves and Shunts /
Hydrocephalus Shunts
5.Strata Shunts/
Hydrocephalus Shunts
6.Unitized Shunts/
Hydrocephalus Shunts","31-54-MD/2006-DC (Re
Reg.02) (Part-I)",,MD-54,21.04.2015,31.03.2018,,
,,,"7. Shunts Kits/
Hydrocephalus Shunts
8. Shunts Assemblies/
Hydrocephalus Shunts
9.External Drainage &
monitoring System (EDM)",,,,,,,
15,"M/s. India Medtronic Pvt.
Ltd. Plot No. 609,
Survey/Shed-188 (Part),
Chamunda Comp., Kasheli
Village, Dist. Thane,
Bhiwandi 421301,
Maharsathra","M/s. India Medtronic Pvt. Ltd.
Plot No. 609, Survey/Shed-
188 (Part), Chamunda
Comp., Kasheli Village, Dist.
Thane, Bhiwandi 421301,
Maharsathra Having
manufacturing premises at
M/s. Medtronic Vascular, 37
A, Cherry Hill drive, Danvers,
MA 01923, USA","1. Launcher / Guiding
Catheter
2. Sherpa NX / Guiding
Catheter
3. Export /Aspiration Catheter
4. Export AP/Aspiration
Catheter
5. Export Advance /Aspiration
Catheter
6. Guardwire / Temporary
Occlusion and Aspiration
System
7. Pulmonary Wedge
Pressure Catheter/ Right
Heart Cardiovascular
Catheter","31-63-MD/2006-DC (Re
Reg.02) Part - I",,MD-63,21.04.2015,31.03.2018,,
15,"M/s India medtronic Pvt.
Ltd., Plot no. 609,
Survey/shed-188(Part),
Chamunda Compound,
kasheli village, distt, thane,
bhiwandi 421301,
maharashtra","M/s Medtronic Inc., Medtronic
Park Way, NE Minneapolis,
MN 55432, USA
Having manufacturing
premises at
M/s. Medtronic Ireland,
Parkmore Business Park
west, Galway, Ireland","1. Endeavor Sprint RX
Zotarolimus Eluting Corony
Stent System / Drug Eluting
Stent
2. Endeavor Resolute
Zotarolimus Eluting Corony
Stent System / Drug Eluting
Stent
3. Assurant Cobalt Over-the-
Wire Iliac Stent System/ Iliac
artery stent and delivery
system
4. attain 6227DEF /
Deflectable Catheter Delivery
System
5. SelectSite C304 /
Deflectable Catheter System/","31-64-MD/2006-DC Re
Reg.02(Part-I)",,MD-64,21.04.2015,31.03.2018,,
,,,"C304-S-59 & C304-L69
6. SelectSite C304 /
Deflectable Catheter System
/ C304-XL74
7.Attain Select II 6248DEL /
Delivery catheter System
8. Attain LDS 6216A / Attain
Access 6218A / Left Heart
Delivery System
9. Attain 6216A/ Attain 6218A
/ Guide Catheter for Left
Heart Delivery
10. Sprinter Over-the-Wire
Balloon Dilatation Catheter/
Balloon Dilatation Catheter
11.Attain Command 6250/
Guide Catheter for Left-Heart
Delivery
12.Attain Command 6250 /
Left-Heart Delivery System
13. Valiant Thoracic Stent
Graft with the Captivia
Delivery System /
Endovascular Graft
14. Sprinter Legend Over-
theWire Balloon Dilatation
Catheter/ Balloon Dilatation
Catheter
15. Complete Se Vascular
Self-Expanding Stent System
16. Integrity Rapid Exchange
Coronary Stent System/ Bare
Metal Stent
17. Reliant Stent Graft
Balloon Catheter / Balloon
Catheter
18. Resolute Integrity
Zotarolimus Eluting Coronary
Stent System/ Drug Eluting",,,,,,,
,,,"Stent
19. Driver Sprint Rapid
Exchange Coronary Stent
System/ Barc Metal Stent
20.Endurant II Stent Graft
System / Endovascular Graft
21. C315 Delivery Catheter/
Delivery Catheter
22. Attain Command + Sure
Valve™ / Heart Therapy
Delivery System
23.Attain Select II + Sure
Valve™ /Heart Therapy
Delivery System
24. ARES™ Antibiotic-
Impregnated
catheters/Antibiotic
Impregnated Hydcrophalous
Catheter
25. Attain Clarity 62251/
Venogram Balloon Catheter
26. IN.PACT Admiral /
Paclitaxel Eluting PTA
Balloon Catheter
27. IN PACT Falcon
Paclitaxel Eluting PTCA
Balloon Catheter",,,,,,,
16,"M/s. India Medtronic Pvt.
Ltd. Plot No. 609,
Survey/Shed-188 (Part),
Chamunda Comp., Kasheli
Village, Dist. Thane,
Bhiwandi 421301","M/s. Medtronic Inc, 710
Medtronic Parkway N.E.
Minneapolis, MN 55432, USA
Having manufacturing
premises at
M/s. Medtronic Mexico, S.De
R.L. de CV, Av. Paseo
Cucupah 10510 EI Lago, CP
22210 Tijuana, Baja
Californiam, Mexico","1. Spinter Legend/ Rapid
Exchange Ballon Dilatation
Catheter
2. NC Sprinter / Rapid
Exchange Balloon Dilatation
Catheter
3. AutoLog One Source Pack
/ Autotransfusion System
Disposable
4. Simulus™/ Annuloplasty
ring
5. Simulus™/ Annuloplasty","31-381-MD/2007-DC
(Re Reg.02) (Part-I)",,MD-381,21.04.2015,31.03.2018,,
,,,"Band
6. NC Euphora / Rapid
Exchange Balloon
DilatationCatheter",,,,,,,
16,"M/s. India Medtronic Pvt.
Ltd., Plot No. 609, Survey/
Shed – 188 (Part),
Chumunda Comp., Kasheli
Distt. Thane Bhiwandi –
421301 (Maharashtra)","M/s. Medtronic Inc., 710
Medtronic Parkway
Minneapolis MN 55432 USA
Having manufacturing
premises at
M/s. CEA Global Dominicana,
Zona Franca Industrial, San
Pedro Macrois Dominican
Republic 80916","1. Thunder, Zinger, cougar
XT, Cougar LS, Provia,
Intution, Persuader/ Steerable
Guidewire
2. Attain Hybrid /Guidewire","31-769(A)-MD/2010-DC
(Re Reg.01) (Part-I)",,MD-769,21.04.2015,31.03.2018,,
16,"M/s. Advance Medi-Surg
Pvt. Ltd., Property No. 608,
Sixth floor, District Centre,
Laxmi Nagar, Delhi -
110092","M/s. S & G Biotech Inc.,
Jungang Induspia #304,
#305, #306, #307, 449
Dunchon-daero, Jungwon-gu,
Seongnam-si, Gyeonggi-do,
462-713 Korea","1. Gastrointestinal Stents-
Bare Stent (Single/Double) /
EGIS
2. Gastrointestinal Stents-
Silicon Covered Stent
(Single/Double) / EGIS
3. Gastrointestinal Stents- e-
PTFE covered Stent / EGIS",31-1502-MD/2014-DC,,MD-1502,22.04.2015,15.04.2018,,
16,"M/s.Faith Biotech Pvt. Ltd,
E-107, Lajpat Nagar-I, New
Delhi-24.","M/s. MicroVention Inc., 1311
Valencia Avenue Tustin,
Calilfornia, 92780 USA",1. Traxcess™ Guidewires,"31-804(A)-MD/2010-DC
(Re-Reg. 01) (End.01)",,MD-804(A),29.04.2015,31.10.02017,,
16,"M/s. Shah Distributors #
37, 1st Floor, Shah
Mansion, Station Road,
Davangere-577001,
Karnataka","M/s. Micromed s.r.l., con
sede in 00141, Roma, Italia,
Viale Valpadana, 126, B/2,
Codice Fiscale -
073256770581","1. PFCL Soft / Soft Liquid
Perfluoro Carbon","31-1217-MD/2012-
DC(End.01)",,MD-1217,29.04.2015,15.02.2016,,
16,"M/s. Totipotent SC
Scientific Product Pvt. Ltd.,
# 857, Udyog Vihar,
Phase-V, Gurgaon","M/s. ThermoGenesis Corp.,
2711 Citrus Road, Rancho
Cordova, California -95742,
USA","1. AutoXpress® Processing
Bag Set/ Cord Blood
Processing System","31-826-MD /2010-DC
(Re-Reg. 01) End. 02",,MD-826,29.04.2015,15.07.2017,,
16,"M/s. 3M India Limited, Plot
No. 60/16, Electronic City,
Hoskur Road, Bangalore-
560100","M/s. 3M Company, 3M
Healthcare, 2510 Conway
Avenue, Bldg.275-5W-06, St.
Paul Minnesota 55144 USA
Having manufacturing","1. 3M™ Tegaderm™
Hydrocolloid/ Hydrocolloid
Dressing
2. 3M™ Tegaderm™ IV
Advanced/ Advanced","31-1488-MD/2014-DC
(End. 01)",,MD-1488,29.04.2015,15.11.2017,,
,,"premises at
M/s. 3M Company, 601, 22th
Avenue South, Brookings,
South Dakota, 5700 USA","Securement Dressing
3. 3M™ Tegaderm™ CHG /
Chlorhexidine Gluconate I.V
Securement Dressing
4. 3M™ Tegaderm™ Foam
Adhesive / High Performance
Foam Adhesive
5. 3M™ Tegaderm™ HP /
HP Transparent Film
Dressing Frame Style
6. 3M™ Tegaderm™
Absorbent / Absorbent Clear
Acrylic Dressing",,,,,,,
16,"M/s. Abbott Healthcare Pvt.
Ltd., 4 Corporate Park,
Sion Trombay Road,
Chembur, Mumbai -
400071","M/s. Abbott Vascular, 3200
Lakeside Drive, Santa Clara,
California 95054, USA
Having manufacturing
premises at
M/s. Abbott Vascular Costa
Rica, 52 Calle 3, B31, Coyol
Free Zone, EI Coyol Aajuela,
Costa Rica, USA","Armada 35/35LL
percutaneous Transluminal
Angioplasty(PTA) Catheter /
percutaneous Transluminal
Angioplasty(PTA) Catheter","31-1230-MD/2012-DC
End. 06",,MD-1230,29.04.2015,31.03.2016,,
16,"M/s. KBL Instruments Co.
Pvt. Ltd., 1E/17,
Jhandewalan Extension,
New Delhi - 110055","M/s. NIDEK Co. Ltd., 34-14
Maehama, Hiroishi-cho,
Gamagori City, Aichi
Prefecture, Japan","Nex-Acri AA 1P / Posterior
chaber IOL (Soft Acrilic
copolymer)",31-1534-MD/2014-DC,,MD-1534,29.04.2015,15.04.2018,,
16,"M/s. Endovascular
Corporation Pvt. Ltd., Gala
No. 8/A, Cabin-A, Gate-2,
Bldg No. E/6 Angle Logistic
Park, Kalyan Nashik
Highway Pimplas,
Bhiwandi Dist. Thane-
421302","M/s. BlockadeMedical, 18
Technology Dr Ste 169,
Irvine, CA USA 92618","Barricade /
Platinum/Tungsten Carricade
Coil",31-1575-MD/2014-DC,,MD-1575,29.04.2015,15.04.2018,,
17,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near","M/s. K2M Inc., 751 Miller DR.,
S.E., Suite F 1, Leesburg, VA
USA 20175","1. Cage (PEEK) / Aleutian® /
Interbody Systems(Non
Sterile)
2. Cages (Titanium) /",31-1631-MD/2015-DC,,MD-1631,29.04.2015,15.04.2018,,
,"Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad",,"Aleutian® / Interbody
Systems(Non Sterile)
3. Screws / Cayman® / Plate
Systems (Non Sterile)
4. Plates / Cayman® / Plate
Systems (Non Sterile)
5. Screws / Denali® / Spinal
Systems (Non Sterile)
6. Rods /Denali® / Spinal
Systems (Non Sterile)
7. Connectors, Hooks,
Staples / Denali® / Spinal
Systems (Non Sterile)
8.Screws/MESA®/ Spinal
Systems (Non Sterile)
9. Rods /MESA®/ Spinal
Systems (Non Sterile)
10. Connectors,
hooks?MESA®/ Spinal
Systems (Non Sterile)
11. Screws, Rods,
Connectors Hooks, Staples/
Denali®/Spinal Systems
12. Screws, Rods,
Connectors Hooks, Staples/
Mesa®/Spinal Systems
13. Screws/Blue
Ridge™/Cervical Plate
System(Non Sterile)
14. Constrained Plate/Blue
Ridge™/Cervical Plate
System(Non Sterile)
15.Screws/Pyrenees®/Cervic
al Plate System(Non Sterile)
16. Translational
Plate/Pyrenees®/Cervical
Plate System(Non Sterile)",,,,,,,
